lat	lon	value	color
43.50384888	-95.98714252	0	#A9AE85
43.53825288	-95.98713606	2	#73A7CC
43.57265896	-95.9871296	0	#A9AE85
43.60706713	-95.98712313	0	#A9AE85
43.64147741	-95.98711665	0	#A9AE85
43.67588982	-95.98711017	0	#A9AE85
43.71030436	-95.98710368	0	#A9AE85
43.74472106	-95.98709718	0	#A9AE85
43.77913994	-95.98709068	2	#73A7CC
43.813561	-95.98708417	0	#A9AE85
43.84798427	-95.98707765	0	#A9AE85
43.88240977	-95.98707113	0	#A9AE85
43.9168375	-95.9870646	2	#73A7CC
43.95126749	-95.98705807	2	#73A7CC
43.98569976	-95.98705152	2	#73A7CC
44.02013431	-95.98704498	0	#A9AE85
44.05457116	-95.98703842	0	#A9AE85
44.08901035	-95.98703186	0	#A9AE85
44.12345187	-95.98702529	0	#A9AE85
44.15789574	-95.98701871	0	#A9AE85
44.19234199	-95.98701213	2	#73A7CC
44.22679063	-95.98700554	0	#A9AE85
44.26124168	-95.98699895	0	#A9AE85
44.29569515	-95.98699234	0	#A9AE85
44.33015106	-95.98698574	0	#A9AE85
44.36460943	-95.98697912	0	#A9AE85
44.39907027	-95.9869725	2	#73A7CC
44.43353361	-95.98696587	2	#73A7CC
44.46799945	-95.98695923	0	#A9AE85
44.50246782	-95.98695259	2	#73A7CC
44.53693874	-95.98694594	0	#A9AE85
44.57141221	-95.98693928	0	#A9AE85
44.60588827	-95.98693262	0	#A9AE85
44.64036692	-95.98692595	0	#A9AE85
44.67484818	-95.98691927	0	#A9AE85
44.70933207	-95.98691259	0	#A9AE85
44.74381861	-95.9869059	0	#A9AE85
44.77830782	-95.9868992	0	#A9AE85
44.81279971	-95.9868925	0	#A9AE85
44.84729429	-95.98688579	0	#A9AE85
44.8817916	-95.98687907	0	#A9AE85
44.91629164	-95.98687235	0	#A9AE85
44.95079444	-95.98686562	2	#73A7CC
44.98530001	-95.98685888	0	#A9AE85
45.01980836	-95.98685213	0	#A9AE85
45.05431953	-95.98684538	0	#A9AE85
45.08883352	-95.98683862	0	#A9AE85
45.12335035	-95.98683185	2	#73A7CC
45.15787004	-95.98682508	2	#73A7CC
45.19239261	-95.9868183	2	#73A7CC
45.22691808	-95.98681151	2	#73A7CC
45.26144646	-95.98680472	0	#A9AE85
45.29597777	-95.98679792	0	#A9AE85
45.33051204	-95.98679111	0	#A9AE85
45.36504927	-95.9867843	2	#73A7CC
45.39958949	-95.98677747	0	#A9AE85
45.43413272	-95.98677064	0	#A9AE85
45.46867897	-95.98676381	0	#A9AE85
45.50322827	-95.98675696	0	#A9AE85
45.53778063	-95.98675011	0	#A9AE85
45.57233606	-95.98674326	0	#A9AE85
45.6068946	-95.98673639	0	#A9AE85
45.64145625	-95.98672952	0	#A9AE85
45.67602103	-95.98672264	2	#73A7CC
45.71058897	-95.98671576	0	#A9AE85
45.74516009	-95.98670886	2	#73A7CC
45.77973439	-95.98670196	2	#73A7CC
45.81431191	-95.98669505	2	#73A7CC
45.84889265	-95.98668814	2	#73A7CC
45.88347664	-95.98668122	2	#73A7CC
45.9180639	-95.98667429	0	#A9AE85
45.95265445	-95.98666735	2	#73A7CC
45.9872483	-95.98666041	0	#A9AE85
46.02184547	-95.98665346	0	#A9AE85
46.05644599	-95.9866465	0	#A9AE85
46.09104987	-95.98663954	0	#A9AE85
46.12565714	-95.98663256	2	#73A7CC
46.1602678	-95.98662558	0	#A9AE85
46.19488188	-95.9866186	0	#A9AE85
46.22949941	-95.9866116	0	#A9AE85
46.26412039	-95.9866046	2	#73A7CC
46.29874485	-95.98659759	2	#73A7CC
46.33337282	-95.98659058	0	#A9AE85
46.36800429	-95.98658355	0	#A9AE85
46.40263931	-95.98657652	0	#A9AE85
46.43727788	-95.98656948	2	#73A7CC
46.47192003	-95.98656244	1	#729565
46.50656578	-95.98655538	1	#729565
46.54121514	-95.98654832	1	#729565
46.57586814	-95.98654125	2	#73A7CC
46.6105248	-95.98653418	0	#A9AE85
46.64518513	-95.9865271	0	#A9AE85
46.67984916	-95.98652001	2	#73A7CC
46.71451691	-95.98651291	2	#73A7CC
46.74918839	-95.9865058	2	#73A7CC
46.78386363	-95.98649869	2	#73A7CC
46.81854265	-95.98649157	2	#73A7CC
46.85322547	-95.98648444	0	#A9AE85
46.8879121	-95.98647731	2	#73A7CC
46.92260257	-95.98647016	0	#A9AE85
46.9572969	-95.98646301	0	#A9AE85
46.99199511	-95.98645586	0	#A9AE85
47.02669722	-95.98644869	0	#A9AE85
47.06140325	-95.98644152	0	#A9AE85
47.09611322	-95.98643434	2	#73A7CC
47.13082716	-95.98642715	0	#A9AE85
47.16554507	-95.98641995	2	#73A7CC
47.20026699	-95.98641275	0	#A9AE85
47.23499294	-95.98640554	1	#729565
47.26972293	-95.98639832	2	#73A7CC
47.30445698	-95.98639109	0	#A9AE85
47.33919513	-95.98638386	0	#A9AE85
47.37393738	-95.98637662	0	#A9AE85
47.40868377	-95.98636937	0	#A9AE85
47.4434343	-95.98636211	0	#A9AE85
47.47818901	-95.98635484	2	#73A7CC
47.51294791	-95.98634757	0	#A9AE85
47.54771103	-95.98634029	0	#A9AE85
47.58247839	-95.986333	0	#A9AE85
47.61725	-95.98632571	0	#A9AE85
47.65202589	-95.9863184	2	#73A7CC
47.68680609	-95.98631109	2	#73A7CC
47.72159061	-95.98630377	1	#729565
47.75637947	-95.98629644	1	#729565
47.7911727	-95.98628911	0	#A9AE85
47.82597032	-95.98628176	0	#A9AE85
47.86077236	-95.98627441	0	#A9AE85
47.89557882	-95.98626705	0	#A9AE85
47.93038974	-95.98625969	2	#73A7CC
47.96520514	-95.98625231	0	#A9AE85
48.00002504	-95.98624493	0	#A9AE85
48.03484946	-95.98623754	0	#A9AE85
48.06967842	-95.98623014	0	#A9AE85
48.10451195	-95.98622274	0	#A9AE85
48.13935007	-95.98621532	2	#73A7CC
48.17419281	-95.9862079	0	#A9AE85
48.20904017	-95.98620047	0	#A9AE85
48.2438922	-95.98619303	2	#73A7CC
48.2787489	-95.98618558	2	#73A7CC
48.31361031	-95.98617813	2	#73A7CC
48.34847644	-95.98617067	1	#729565
48.38334732	-95.9861632	0	#A9AE85
48.41822297	-95.98615572	2	#73A7CC
48.45310342	-95.98614823	0	#A9AE85
48.48798868	-95.98614074	0	#A9AE85
48.52287879	-95.98613323	1	#729565
48.55777376	-95.98612572	1	#729565
48.59267361	-95.9861182	2	#73A7CC
48.62757838	-95.98611068	2	#73A7CC
48.66248808	-95.98610314	2	#73A7CC
48.69740274	-95.9860956	0	#A9AE85
48.73232238	-95.98608804	2	#73A7CC
48.76724703	-95.98608048	1	#729565
48.80217671	-95.98607292	0	#A9AE85
48.83711143	-95.98606534	0	#A9AE85
48.87205124	-95.98605775	0	#A9AE85
