id,is_observed,obs,dur,dist,is_train
1,t,0.1,0.1,0.0,t
2,t,0.0,0.0,0.0,t
3,t,0.0,0.1,0.0,t
4,t,0.0,0.1,0.0,t
5,t,0.0,0.1,0.0,t
6,t,0.0,0.1,0.0,t
7,t,0.0,0.1,0.0,t
8,t,0.0,0.1,0.0,t
9,f,0,0,0,t
10,t,0.0,0.0,0.0,t
11,t,0.0,0.0,0.0,t
12,t,0.0,0.1,0.0,t
13,f,0,0,0,t
14,t,0.0,0.1,0.0,t
15,t,0.0,0.2,0.0,t
16,t,0.0,0.1,0.0,t
17,t,0.0,0.1,0.0,t
18,f,0,0,0,t
19,t,0.0,0.1,0.0,t
20,f,0,0,0,t
21,t,0.0,0.0,0.0,t
22,t,0.0,0.1,0.0,t
23,t,0.0,0.1,0.0,t
24,t,0.0,0.0,0.0,t
25,f,0,0,0,t
26,t,0.1,0.0,0.0,t
27,t,0.0,0.1,0.0,t
28,t,0.0,0.1,0.0,t
29,t,0.1,0.1,0.0,t
30,f,0,0,0,t
31,t,0.0,0.1,0.0,t
32,t,0.2,0.1,0.0,t
33,t,0.1,0.1,0.0,t
34,t,0.0,0.1,0.0,t
35,t,0.0,0.1,0.0,t
36,f,0,0,0,t
37,f,0,0,0,t
38,f,0,0,0,t
39,f,0,0,0,t
40,f,0,0,0,t
41,t,0.0,0.1,0.0,t
42,t,0.0,0.0,0.0,t
43,t,0.0,0.1,0.0,t
44,f,0,0,0,t
45,f,0,0,0,t
46,t,0.0,0.1,0.0,t
47,t,0.0,0.1,0.0,t
48,t,0.0,0.1,0.0,t
49,t,0.0,0.1,0.0,t
50,t,0.0,0.1,0.0,t
51,t,0.0,0.1,0.0,t
52,t,0.0,0.1,0.0,t
53,f,0,0,0,t
54,t,0.0,0.1,0.0,t
55,t,0.0,0.2,0.1,t
56,t,0.0,0.2,0.0,t
57,t,0.0,0.2,0.0,t
58,t,0.1,0.1,0.0,t
59,t,0.0,0.0,0.0,t
60,t,0.0,0.1,0.0,t
61,t,0.0,0.1,0.0,t
62,t,0.6,0.2,0.1,t
63,t,0.0,0.1,0.0,t
64,t,0.0,0.1,0.0,t
65,f,0,0,0,t
66,t,0.0,0.0,0.0,t
67,t,0.0,0.0,0.0,t
68,t,0.0,0.1,0.0,t
69,t,0.0,0.1,0.0,t
70,t,0.0,0.1,0.0,t
71,t,0.1,0.1,0.0,t
72,t,0.0,0.2,0.1,t
73,t,0.0,0.0,0.1,t
74,t,0.5,0.2,0.0,t
75,t,0.0,0.1,0.0,t
76,t,0.2,0.1,0.0,t
77,t,0.0,0.1,0.0,t
78,t,0.0,0.1,0.0,t
79,t,0.0,0.1,0.0,t
80,t,0.1,0.1,0.0,t
81,t,0.0,0.0,0.0,t
82,t,0.0,0.0,0.0,t
83,t,0.0,0.0,0.0,t
84,t,0.2,0.1,0.0,t
85,f,0,0,0,t
86,t,0.0,0.1,0.0,t
87,t,0.2,0.1,0.0,t
88,t,0.0,0.1,0.0,t
89,t,0.0,0.1,0.0,t
90,t,0.1,0.1,0.0,t
91,t,0.1,0.1,0.0,t
92,t,0.0,0.0,0.0,t
93,t,0.0,0.0,0.0,t
94,f,0,0,0,t
95,t,0.0,0.0,0.0,t
96,t,0.1,0.4,0.0,t
97,t,0.0,0.2,0.0,t
98,t,0.0,0.1,0.0,t
99,t,0.1,0.1,0.0,t
100,t,0.0,0.1,0.0,t
101,t,0.0,0.1,0.0,t
102,t,0.0,0.1,0.0,t
103,t,0.0,0.1,0.0,t
104,t,0.0,0.1,0.0,t
105,t,0.1,0.1,0.0,t
106,f,0,0,0,t
107,t,0.0,0.2,0.0,t
108,f,0,0,0,t
109,t,0.0,0.1,0.0,t
110,t,0.2,0.1,0.0,t
111,t,0.1,0.1,0.0,t
112,t,0.3,0.1,0.0,t
113,t,0.4,0.1,0.0,t
114,f,0,0,0,t
115,f,0,0,0,t
116,t,0.0,0.1,0.0,t
117,t,0.0,0.0,0.0,t
118,t,0.0,0.1,0.0,t
119,t,0.1,0.2,0.0,t
120,t,0.0,0.1,0.0,t
121,t,0.0,0.1,0.0,t
122,t,0.0,0.0,0.0,t
123,t,0.0,0.1,0.0,t
124,f,0,0,0,t
125,t,0.0,0.1,0.0,t
126,t,0.0,0.1,0.0,t
127,t,0.0,0.1,0.0,t
128,t,0.0,0.1,0.0,t
129,t,0.0,0.1,0.0,t
130,f,0,0,0,t
131,t,0.0,0.1,0.0,t
132,t,0.1,0.1,0.0,t
133,f,0,0,0,t
134,t,0.0,0.1,0.0,t
135,f,0,0,0,t
136,t,0.0,0.1,0.0,t
137,t,0.0,0.0,0.0,t
138,t,0.0,0.1,0.0,t
139,t,0.0,0.1,0.0,t
140,t,0.0,0.1,0.0,t
141,f,0,0,0,t
142,t,0.1,0.1,0.0,t
143,t,0.0,0.0,0.0,t
144,t,0.0,0.2,0.0,t
145,f,0,0,0,t
146,f,0,0,0,t
147,t,0.0,0.2,0.0,t
148,t,0.0,0.2,0.0,t
149,t,0.0,0.2,0.0,t
150,t,0.0,0.0,0.0,t
151,t,0.0,0.1,0.0,t
152,t,0.0,0.1,0.0,t
153,t,0.2,0.1,0.0,t
154,t,0.0,0.1,0.0,t
155,t,0.0,0.2,0.0,t
156,t,0.0,0.1,0.0,t
157,t,0.0,0.1,0.0,t
158,t,0.0,0.0,0.0,t
159,t,0.1,0.2,0.0,t
160,t,0.2,0.1,0.0,t
161,t,0.0,0.1,0.0,t
162,t,0.0,0.1,0.0,t
163,t,0.1,0.1,0.0,t
164,t,0.0,0.1,0.0,t
165,t,0.0,0.1,0.0,t
166,t,0.2,0.1,0.0,t
167,t,0.1,0.1,0.0,t
168,f,0,0,0,t
169,f,0,0,0,t
170,t,0.1,0.1,0.0,t
171,t,0.2,0.1,0.0,t
172,t,0.0,0.1,0.0,t
173,t,0.0,0.1,0.0,t
174,t,0.0,0.0,0.0,t
175,t,0.1,0.2,0.0,t
176,f,0,0,0,t
177,t,0.4,0.1,0.0,t
178,t,0.0,0.0,0.0,t
179,t,0.0,0.0,0.0,t
180,t,0.0,0.0,0.0,t
181,t,0.0,0.1,0.0,t
182,f,0,0,0,t
183,t,0.1,0.1,0.0,t
184,t,0.0,0.1,0.0,t
185,t,0.0,0.1,0.0,t
186,t,0.0,0.1,0.0,t
