id,val,dem,slp,dist,st_asewkt
1,82,0.6,0.1,0.0,"SRID=4326;POLYGON((-96.0109968370632 43.5210512488755,-95.9632817490962 43.521046593031,-95.9633001756591 43.486643624608,-96.0109913184472 43.4866482778375,-96.0109968370632 43.5210512488755))"
2,81,0.6,0.1,0.0,"SRID=4326;POLYGON((-96.0110023612237 43.5554562874148,-95.9632633040204 43.5554516289504,-95.9632817490962 43.521046593031,-96.0109968370632 43.5210512488755,-96.0110023612237 43.5554562874148))"
3,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110078909371 43.5898634096598,-95.963244840404 43.5898587485708,-95.9632633040204 43.5554516289504,-96.0110023612237 43.5554562874148,-96.0110078909371 43.5898634096598))"
4,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110134262115 43.6242726318501,-95.9632263582188 43.6242679681315,-95.963244840404 43.5898587485708,-96.0110078909371 43.5898634096598,-96.0110134262115 43.6242726318501))"
5,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110189670556 43.6586839702602,-95.9632078574368 43.6586793039072,-95.9632263582188 43.6242679681315,-96.0110134262115 43.6242726318501,-96.0110189670556 43.6586839702602))"
6,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110245134777 43.6930974412,-95.9631893380301 43.6930927722078,-95.9632078574368 43.6586793039072,-96.0110189670556 43.6586839702602,-96.0110245134777 43.6930974412))"
7,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110300654862 43.727513061015,-95.9631707999704 43.7275083893788,-95.9631893380301 43.6930927722078,-96.0110245134777 43.6930974412,-96.0110300654862 43.727513061015))"
8,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0110356230895 43.7619308460862,-95.9631522432295 43.7619261718009,-95.9631707999704 43.7275083893788,-96.0110300654862 43.727513061015,-96.0110356230895 43.7619308460862))"
9,95,0.8,0.2,0.0,"SRID=4326;POLYGON((-96.0110411862962 43.7963508128305,-95.9631336677792 43.7963461358912,-95.9631522432295 43.7619261718009,-96.0110356230895 43.7619308460862,-96.0110411862962 43.7963508128305))"
10,82,0.8,0.2,0.0,"SRID=4326;POLYGON((-96.0110467551147 43.8307729777006,-95.9631150735913 43.8307682981025,-95.9631336677792 43.7963461358912,-96.0110411862962 43.7963508128305,-96.0110467551147 43.8307729777006))"
11,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0110523295535 43.8651973571853,-95.9630964606372 43.8651926749235,-95.9631150735913 43.8307682981025,-96.0110467551147 43.8307729777006,-96.0110523295535 43.8651973571853))"
12,82,0.8,0.2,0.0,"SRID=4326;POLYGON((-96.0110579096211 43.89962396781,-95.9630778288886 43.8996192828794,-95.9630964606372 43.8651926749235,-96.0110523295535 43.8651973571853,-96.0110579096211 43.89962396781))"
13,71,0.8,0.3,0.0,"SRID=4326;POLYGON((-96.011063495326 43.9340528261361,-95.9630591783171 43.9340481385319,-95.9630778288886 43.8996192828794,-96.0110579096211 43.89962396781,-96.011063495326 43.9340528261361))"
14,71,0.8,0.2,0.0,"SRID=4326;POLYGON((-96.0110690866768 43.9684839487618,-95.963040508894 43.968479258479,-95.9630591783171 43.9340481385319,-96.011063495326 43.9340528261361,-96.0110690866768 43.9684839487618))"
15,81,0.8,0.2,0.0,"SRID=4326;POLYGON((-96.0110746836821 44.0029173523222,-95.9630218205908 44.0029126593557,-95.963040508894 43.968479258479,-96.0110690866768 43.9684839487618,-96.0110746836821 44.0029173523222))"
16,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0110802863504 44.0373530534889,-95.9630031133788 44.0373483578339,-95.9630218205908 44.0029126593557,-96.0110746836821 44.0029173523222,-96.0110802863504 44.0373530534889))"
